Date (-05:00),Irradiance Reference (Link) (W/mÂ²),Meter AC Power (W)
9/13/2022 0:05,,0
9/13/2022 0:10,,0
9/13/2022 0:15,,0
9/13/2022 0:20,,0
9/13/2022 0:25,,0
9/13/2022 0:30,,0
9/13/2022 0:35,,0
9/13/2022 0:40,,0
9/13/2022 0:45,,0
9/13/2022 0:50,,0
9/13/2022 0:55,,0
9/13/2022 1:00,,0
9/13/2022 1:05,,0
9/13/2022 1:10,,0
9/13/2022 1:15,,0
9/13/2022 1:20,,0
9/13/2022 1:25,,0
9/13/2022 1:30,,0
9/13/2022 1:35,,0
9/13/2022 1:40,,0
9/13/2022 1:45,,0
9/13/2022 1:50,,0
9/13/2022 1:55,,0
9/13/2022 2:00,,0
9/13/2022 2:05,,0
9/13/2022 2:10,,0
9/13/2022 2:15,,0
9/13/2022 2:20,,0
9/13/2022 2:25,,0
9/13/2022 2:30,,0
9/13/2022 2:35,,0
9/13/2022 2:40,,0
9/13/2022 2:45,,0
9/13/2022 2:50,,0
9/13/2022 2:55,,0
9/13/2022 3:00,,0
9/13/2022 3:05,,0
9/13/2022 3:10,,0
9/13/2022 3:15,,0
9/13/2022 3:20,,0
9/13/2022 3:25,,0
9/13/2022 3:30,,0
9/13/2022 3:35,,0
9/13/2022 3:40,,0
9/13/2022 3:45,,0
9/13/2022 3:50,,0
9/13/2022 3:55,,0
9/13/2022 4:00,,0
9/13/2022 4:05,,0
9/13/2022 4:10,,0
9/13/2022 4:15,,0
9/13/2022 4:20,,0
9/13/2022 4:25,,0
9/13/2022 4:30,,0
9/13/2022 4:35,,0
9/13/2022 4:40,,0
9/13/2022 4:45,,0
9/13/2022 4:50,,0
9/13/2022 4:55,,0
9/13/2022 5:00,,0
9/13/2022 5:05,,0
9/13/2022 5:10,,0
9/13/2022 5:15,,0
9/13/2022 5:20,,0
9/13/2022 5:25,,0
9/13/2022 5:30,,0
9/13/2022 5:35,,0
9/13/2022 5:40,,0
9/13/2022 5:45,,0
9/13/2022 5:50,,0
9/13/2022 5:55,,0
9/13/2022 6:00,,0
9/13/2022 6:05,,0
9/13/2022 6:10,,0
9/13/2022 6:15,,0
9/13/2022 6:20,0.7175,0
9/13/2022 6:25,0.7175,0
9/13/2022 6:30,2.9165,0
9/13/2022 6:35,6.5032,0
9/13/2022 6:40,11.7635,31350
9/13/2022 6:45,16.155,206460
9/13/2022 6:50,21.8063,398160
9/13/2022 6:55,28.9444,637035
9/13/2022 7:00,37.6479,947895
9/13/2022 7:05,46.9087,1295950
9/13/2022 7:10,51.0749,1451710
9/13/2022 7:15,57.3396,1675890
9/13/2022 7:20,68.7921,2087860
9/13/2022 7:25,78.2848,2432080
9/13/2022 7:30,87.7634,2795370
9/13/2022 7:35,105.1613,3289800
9/13/2022 7:40,124.616,3704200
9/13/2022 7:45,131.8577,3894940
9/13/2022 7:50,141.3903,4122190
9/13/2022 7:55,134.593,4040310
9/13/2022 8:00,160.826,4669050
9/13/2022 8:05,176.7453,5123550
9/13/2022 8:10,166.7407,4964400
9/13/2022 8:15,174.5423,5202630
9/13/2022 8:20,165.9103,5106400
9/13/2022 8:25,195.583,6007710
9/13/2022 8:30,263.43,8122650
9/13/2022 8:35,256.513,8048230
9/13/2022 8:40,253.371,8233140
9/13/2022 8:45,316.252,10249200
9/13/2022 8:50,337.0293,10987500
9/13/2022 8:55,346.7213,11439400
9/13/2022 9:00,348.9077,11587900
9/13/2022 9:05,370.9627,12429800
9/13/2022 9:10,402.0347,13535600
9/13/2022 9:15,422.5447,14277100
9/13/2022 9:20,444.1797,15058900
9/13/2022 9:25,465.9877,15870400
9/13/2022 9:30,488.8167,16676000
9/13/2022 9:35,513.2693,17568700
9/13/2022 9:40,554.7597,18926000
9/13/2022 9:45,608.6077,20797800
9/13/2022 9:50,500.8487,17669200
9/13/2022 9:55,614.5707,21132300
9/13/2022 10:00,448.2033,14666900
9/13/2022 10:05,333.7233,11168800
9/13/2022 10:10,414.2227,14855900
9/13/2022 10:15,564.1157,18963400
9/13/2022 10:20,657.8393,22558500
9/13/2022 10:25,700.5317,23045200
9/13/2022 10:30,751.614,25644600
9/13/2022 10:35,486.9797,17913500
9/13/2022 10:40,667.066,23351200
9/13/2022 10:45,611.216,18408100
9/13/2022 10:50,804.124,27341300
9/13/2022 10:55,803.335,27291000
9/13/2022 11:00,822.6793,27791700
9/13/2022 11:05,818.776,27522800
9/13/2022 11:10,830.9337,27929100
9/13/2022 11:15,852.5913,28486400
9/13/2022 11:20,871.5203,28911900
9/13/2022 11:25,887.8387,29320300
9/13/2022 11:30,902.94,29430800
9/13/2022 11:35,916.591,29571000
9/13/2022 11:40,922.475,29583900
9/13/2022 11:45,927.15,29646100
9/13/2022 11:50,925.086,29665800
9/13/2022 11:55,925.518,29683900
9/13/2022 12:00,929.8613,29692600
9/13/2022 12:05,937.066,29793900
9/13/2022 12:10,946.7737,29937300
9/13/2022 12:15,954.6367,29971900
9/13/2022 12:20,960.4903,29992400
9/13/2022 12:25,965.7313,29991800
9/13/2022 12:30,974.9263,29999400
9/13/2022 12:35,980.004,30010800
9/13/2022 12:40,984.9677,29996600
9/13/2022 12:45,988.646,30005000
9/13/2022 12:50,991.978,30012300
9/13/2022 12:55,999.056,29982300
9/13/2022 13:00,999.3363,29999600
9/13/2022 13:05,1001.1103,29977800
9/13/2022 13:10,1004.5863,30003200
9/13/2022 13:15,1003.802,29989800
9/13/2022 13:20,1006.897,29964500
9/13/2022 13:25,1007.5717,29998500
9/13/2022 13:30,1005.2967,29983800
9/13/2022 13:35,1004.1743,29968800
9/13/2022 13:40,1001.54,29964300
9/13/2022 13:45,999.5967,29904800
9/13/2022 13:50,999.4717,29974600
9/13/2022 13:55,999.775,29985700
9/13/2022 14:00,997.8597,29917100
9/13/2022 14:05,996.0563,29986100
9/13/2022 14:10,988.0873,29989600
9/13/2022 14:15,984.849,30019600
9/13/2022 14:20,987.4513,29757800
9/13/2022 14:25,977.9567,29894300
9/13/2022 14:30,975.4133,29985200
9/13/2022 14:35,969.6,29758400
9/13/2022 14:40,957.3577,29731800
9/13/2022 14:45,945.444,29637300
9/13/2022 14:50,943.4773,29649500
9/13/2022 14:55,929.8897,29382400
9/13/2022 15:00,921.179,29145800
9/13/2022 15:05,908.918,28915100
9/13/2022 15:10,896.756,28723500
9/13/2022 15:15,885.2873,28428000
9/13/2022 15:20,871.3137,27983800
9/13/2022 15:25,858.2407,27660600
9/13/2022 15:30,851.1847,27500900
9/13/2022 15:35,836.409,27097100
9/13/2022 15:40,817.1763,26483600
9/13/2022 15:45,804.168,26143700
9/13/2022 15:50,793.68,25936400
9/13/2022 15:55,775.8723,25395300
9/13/2022 16:00,758.9303,24803900
9/13/2022 16:05,741.6233,24224500
9/13/2022 16:10,725.4423,23754600
9/13/2022 16:15,706.2573,23166900
9/13/2022 16:20,688.629,22621400
9/13/2022 16:25,671.8177,22044100
9/13/2022 16:30,653.9597,21505300
9/13/2022 16:35,634.814,20897800
9/13/2022 16:40,616.0033,20292000
9/13/2022 16:45,595.0787,19581500
9/13/2022 16:50,573.6117,18778800
9/13/2022 16:55,554.2507,18236900
9/13/2022 17:00,532.082,17467100
9/13/2022 17:05,512.4923,16753400
9/13/2022 17:10,492.293,16121900
9/13/2022 17:15,466.803,15235600
9/13/2022 17:20,444.071,14379200
9/13/2022 17:25,422.8367,13574400
9/13/2022 17:30,398.878,12703500
9/13/2022 17:35,377.6613,11899600
9/13/2022 17:40,353.3473,11013100
9/13/2022 17:45,328.4997,10101700
9/13/2022 17:50,304.3573,9204270
9/13/2022 17:55,278.6963,8275380
9/13/2022 18:00,254.7807,7367520
9/13/2022 18:05,230.285,6447120
9/13/2022 18:10,205.3657,5495460
9/13/2022 18:15,179.272,4500380
9/13/2022 18:20,152.684,3473220
9/13/2022 18:25,126.721,2525250
9/13/2022 18:30,99.9987,1691280
9/13/2022 18:35,52.9825,890475
9/13/2022 18:40,14.039,182340
9/13/2022 18:45,9.4969,9585
9/13/2022 18:50,7.4475,0
9/13/2022 18:55,4.3041,0
9/13/2022 19:00,2.152,0
9/13/2022 19:05,0.9565,0
9/13/2022 19:10,,0
9/13/2022 19:15,,0
9/13/2022 19:20,,0
9/13/2022 19:25,,0
9/13/2022 19:30,,0
9/13/2022 19:35,,0
9/13/2022 19:40,,0
9/13/2022 19:45,0,0
9/13/2022 19:50,0,0
9/13/2022 19:55,0.2287,0
9/13/2022 20:00,0,0
9/13/2022 20:05,,0
9/13/2022 20:10,,0
9/13/2022 20:15,,0
9/13/2022 20:20,,0
9/13/2022 20:25,,0
9/13/2022 20:30,,0
9/13/2022 20:35,,0
9/13/2022 20:40,,0
9/13/2022 20:45,,0
9/13/2022 20:50,,0
9/13/2022 20:55,,0
9/13/2022 21:00,,0
9/13/2022 21:05,,0
9/13/2022 21:10,,0
9/13/2022 21:15,,0
9/13/2022 21:20,,0
9/13/2022 21:25,,0
9/13/2022 21:30,,0
9/13/2022 21:35,,0
9/13/2022 21:40,,0
9/13/2022 21:45,,0
9/13/2022 21:50,,0
9/13/2022 21:55,,0
9/13/2022 22:00,,0
9/13/2022 22:05,,0
9/13/2022 22:10,,0
9/13/2022 22:15,,0
9/13/2022 22:20,,0
9/13/2022 22:25,,0
9/13/2022 22:30,,0
9/13/2022 22:35,,0
9/13/2022 22:40,,0
9/13/2022 22:45,,0
9/13/2022 22:50,,0
9/13/2022 22:55,,0
9/13/2022 23:00,,0
9/13/2022 23:05,,0
9/13/2022 23:10,,0
9/13/2022 23:15,,0
9/13/2022 23:20,,0
9/13/2022 23:25,,0
9/13/2022 23:30,,0
9/13/2022 23:35,,0
9/13/2022 23:40,,0
9/13/2022 23:45,,0
9/13/2022 23:50,,0
9/13/2022 23:55,,0
9/14/2022 0:00,,0
