,Sum_of_CBX,DC_Rating,String_count,Relative_DC,Sum_of_CBX/Relative_DC,Sum/Top_performer,Estimated_Downstrings
Recombiner 101 - Current_String_1 (A),11257.2,172.5,100,0.9090909090909091,12382.920000000002,0.9106584051244694,8.934159487553062
Recombiner 101 - Current_String_2 (A),11273.9,172.5,100,0.9090909090909091,12401.29,0.9120093623221365,8.799063767786352
Recombiner 101 - Current_String_3 (A),11223.1,172.5,100,0.9090909090909091,12345.410000000002,0.9078998637807298,9.210013621927015
Recombiner 101 - Current_String_4 (A),11505.1,172.5,100,0.9090909090909091,12655.61,0.9307124344239714,6.928756557602855
Recombiner 101 - Current_String_5 (A),11563.4,172.5,100,0.9090909090909091,12719.74,0.9354286502697196,6.457134973028045
Recombiner 101 - Current_String_6 (A),11618.9,172.5,100,0.9090909090909091,12780.79,0.939918358321847,6.0081641678153
Recombiner 101 - Current_String_7 (A),9312.199999999999,138.0,80,0.7272727272727273,12804.274999999998,0.9416454802482057,4.668361580143543
Recombiner 101 - Current_String_8 (A),11504.8,172.5,100,0.9090909090909091,12655.279999999999,0.9306881657317977,6.9311834268202315
Recombiner 101 - Current_String_9 (A),9160.9,138.0,80,0.7272727272727273,12596.2375,0.9263460922237268,5.8923126221018585
Recombiner 101 - Current_String_10 (A),10744.999999999998,172.5,100,0.9090909090909091,11819.499999999998,0.8692236580199713,13.077634198002874
Recombiner 101 - Current_String_11 (A),11348.800000000001,172.5,100,0.9090909090909091,12483.680000000002,0.918068445801494,8.193155419850594
Recombiner 101 - Current_String_12 (A),9255.7,138.0,80,0.7272727272727273,12726.587500000001,0.9359322256323231,5.125421949414148
Recombiner 101 - Current_String_13 (A),10848.2,172.5,100,0.9090909090909091,11933.02,0.8775720881277109,12.242791187228907
Recombiner 101 - Current_String_14 (A),11494.2,172.5,100,0.9090909090909091,12643.62,0.9298306719416618,7.01693280583382
Recombiner 101 - Current_String_15 (A),9096.3,138.0,80,0.7272727272727273,12507.412499999999,0.9198137692469829,6.4148984602413694
Recombiner 101 - Current_String_16 (A),11135.4,172.5,100,0.9090909090909091,12248.94,0.9008053161019628,9.91946838980372
Recombiner 101 - Current_String_17 (A),8595.5,138.0,80,0.7272727272727273,11818.8125,0.8691730982446096,10.466152140431229
Recombiner 101 - Current_String_18 (A),8811.4,138.0,80,0.7272727272727273,12115.675,0.8910048092458325,8.719615260333402
Recombiner 101 - Current_String_19 (A),6769.0,120.75,70,0.6363636363636364,10637.0,0.7822608443976848,15.241740892162062
Recombiner 102 - Current_String_1 (A),11541.199999999999,172.5,100,0.9090909090909091,12695.32,0.9336327670488687,6.636723295113134
Recombiner 102 - Current_String_2 (A),11532.1,172.5,100,0.9090909090909091,12685.310000000001,0.932896616719601,6.710338328039899
Recombiner 102 - Current_String_3 (A),11592.199999999999,172.5,100,0.9090909090909091,12751.42,0.9377584447183911,6.224155528160891
Recombiner 102 - Current_String_4 (A),10404.9,172.5,100,0.9090909090909091,11445.39,0.8417110506590972,15.828894934090275
Recombiner 102 - Current_String_5 (A),9016.8,138.0,80,0.7272727272727273,12398.099999999999,0.9117747649644575,7.058018802843398
Recombiner 102 - Current_String_6 (A),11337.9,172.5,100,0.9090909090909091,12471.69,0.9171866833191842,8.281331668081581
Recombiner 102 - Current_String_7 (A),11646.4,172.5,100,0.9090909090909091,12811.04,0.942142988437766,5.7857011562234
Recombiner 102 - Current_String_8 (A),9263.199999999999,155.25,90,0.8181818181818182,11321.688888888886,0.8326138864557776,15.064750218980015
Recombiner 102 - Current_String_9 (A),8671.000000000002,138.0,80,0.7272727272727273,11922.625000000002,0.8768076243242408,9.85539005406074
Recombiner 102 - Current_String_10 (A),8173.999999999999,138.0,80,0.7272727272727273,11239.249999999998,0.8265512076146166,13.875903390830668
Recombiner 102 - Current_String_11 (A),8824.3,138.0,80,0.7272727272727273,12133.412499999999,0.8923092514501667,8.615259883986663
Recombiner 102 - Current_String_12 (A),11447.3,172.5,100,0.9090909090909091,12592.029999999999,0.9260366663985126,7.396333360148743
Recombiner 102 - Current_String_13 (A),11364.1,172.5,100,0.9090909090909091,12500.51,0.9193061491023506,8.069385089764936
Recombiner 102 - Current_String_14 (A),11117.1,172.5,100,0.9090909090909091,12228.810000000001,0.8993249258793695,10.067507412063048
Recombiner 102 - Current_String_15 (A),11489.6,172.5,100,0.9090909090909091,12638.560000000001,0.929458551994999,7.0541448005000955
Recombiner 102 - Current_String_16 (A),9147.9,138.0,80,0.7272727272727273,12578.3625,0.9250315380643201,5.997476954854388
Recombiner 102 - Current_String_17 (A),9260.199999999999,138.0,80,0.7272727272727273,12732.774999999998,0.9363872636105791,5.089018911153671
Recombiner 102 - Current_String_18 (A),8274.6,138.0,80,0.7272727272727273,11377.575,0.8367238344174099,13.062093246607205
Recombiner 102 - Current_String_19 (A),11004.4,172.5,100,0.9090909090909091,12104.84,0.8902079871861306,10.979201281386942
Recombiner 103 - Current_String_1 (A),9185.8,138.0,80,0.7272727272727273,12630.474999999999,0.9288639690367441,5.690882477060475
Recombiner 103 - Current_String_2 (A),9132.2,138.0,80,0.7272727272727273,12556.775000000001,0.9234439611179599,6.124483110563208
Recombiner 103 - Current_String_3 (A),11088.6,172.5,100,0.9090909090909091,12197.460000000001,0.8970194001228716,10.298059987712838
Recombiner 103 - Current_String_4 (A),11454.8,172.5,100,0.9090909090909091,12600.279999999999,0.9266433837028542,7.3356616297145845
Recombiner 103 - Current_String_5 (A),9173.0,138.0,80,0.7272727272727273,12612.875,0.9275696387874822,5.794428897001422
Recombiner 103 - Current_String_6 (A),9100.9,138.0,80,0.7272727272727273,12513.7375,0.9202789191803115,6.377686465575083
Recombiner 103 - Current_String_7 (A),10272.2,172.5,100,0.9090909090909091,11299.420000000002,0.8309761991542812,16.902380084571877
Recombiner 103 - Current_String_8 (A),11703.0,172.5,100,0.9090909090909091,12873.300000000001,0.9467216816945301,5.327831830546992
Recombiner 103 - Current_String_9 (A),10392.0,172.5,100,0.9090909090909091,11431.2,0.8406674968956299,15.933250310437009
Recombiner 103 - Current_String_10 (A),11171.7,172.5,100,0.9090909090909091,12288.87,0.9037418278549758,9.625817214502419
Recombiner 103 - Current_String_11 (A),10984.699999999999,172.5,100,0.9090909090909091,12083.17,0.8886143430667268,11.138565693327319
Recombiner 103 - Current_String_12 (A),9143.6,138.0,80,0.7272727272727273,12572.45,0.9245967239962088,6.032262080303292
Recombiner 103 - Current_String_13 (A),10370.9,172.5,100,0.9090909090909091,11407.99,0.8389605988794157,16.103940112058435
Recombiner 103 - Current_String_14 (A),11241.600000000002,172.5,100,0.9090909090909091,12365.760000000002,0.909396433131439,9.060356686856096
Recombiner 103 - Current_String_15 (A),11527.1,172.5,100,0.9090909090909091,12679.810000000001,0.9324921385167066,6.750786148329335
Recombiner 103 - Current_String_16 (A),11429.4,172.5,100,0.9090909090909091,12572.34,0.9245886344321509,7.541136556784911
Recombiner 103 - Current_String_17 (A),8872.4,138.0,80,0.7272727272727273,12199.55,0.8971731018399713,8.226151852802293
Recombiner 103 - Current_String_18 (A),0.0,138.0,80,0.7272727272727273,0.0,0.0,80.0
Recombiner 103 - Current_String_19 (A),10205.5,155.25,90,0.8181818181818182,12473.388888888889,0.9173116221418559,7.441954007232968
Recombiner 104 - Current_String_1 (A),8889.9,138.0,80,0.7272727272727273,12223.6125,0.8989426939776342,8.084584481789268
Recombiner 104 - Current_String_2 (A),8832.7,138.0,80,0.7272727272727273,12144.962500000001,0.8931586556762451,8.547307545900393
Recombiner 104 - Current_String_3 (A),11198.5,172.5,100,0.9090909090909091,12318.35,0.9059098310224896,9.409016897751044
Recombiner 104 - Current_String_4 (A),11090.499999999998,172.5,100,0.9090909090909091,12199.55,0.8971731018399713,10.282689816002865
Recombiner 104 - Current_String_5 (A),11262.1,172.5,100,0.9090909090909091,12388.310000000001,0.9110547937633058,8.894520623669422
Recombiner 104 - Current_String_6 (A),9641.4,172.5,100,0.9090909090909091,10605.539999999999,0.779947229077129,22.005277092287102
Recombiner 104 - Current_String_7 (A),8204.6,138.0,80,0.7272727272727273,11281.325,0.8296454658667587,13.628362730659305
Recombiner 104 - Current_String_8 (A),9080.3,138.0,80,0.7272727272727273,12485.412499999999,0.9181958564354055,6.544331485167563
Recombiner 104 - Current_String_9 (A),11371.7,172.5,100,0.9090909090909091,12508.87,0.9199209559707501,8.007904402924993
Recombiner 104 - Current_String_10 (A),10645.900000000003,172.5,100,0.9090909090909091,11710.490000000003,0.8612069000386056,13.879309996139444
Recombiner 104 - Current_String_11 (A),11117.9,172.5,100,0.9090909090909091,12229.69,0.8993896423918325,10.06103576081675
Recombiner 104 - Current_String_12 (A),10979.1,172.5,100,0.9090909090909091,12077.01,0.8881613274794852,11.183867252051483
Recombiner 104 - Current_String_13 (A),9061.6,138.0,80,0.7272727272727273,12459.7,0.9163049208368745,6.695606333050037
Recombiner 104 - Current_String_14 (A),8980.0,138.0,80,0.7272727272727273,12347.5,0.9080535654978296,7.355714760173635
Recombiner 104 - Current_String_15 (A),10361.400000000001,172.5,100,0.9090909090909091,11397.540000000003,0.8381920902939166,16.18079097060834
Recombiner 104 - Current_String_16 (A),10232.400000000001,172.5,100,0.9090909090909091,11255.640000000001,0.8277565526592421,17.224344734075792
Recombiner 104 - Current_String_17 (A),9959.199999999999,155.25,90,0.8181818181818182,12172.355555555554,0.8951731818367714,9.434413634690573
Recombiner 104 - Current_String_18 (A),11369.8,172.5,100,0.9090909090909091,12506.779999999999,0.91976725425365,8.023274574634998
Recombiner 104 - Current_String_19 (A),8031.900000000001,138.0,80,0.7272727272727273,11043.862500000001,0.8121821194567949,15.025430443456411
Recombiner 105 - Current_String_1 (A),10986.199999999999,172.5,100,0.9090909090909091,12084.82,0.8887356865275952,11.126431347240484
Recombiner 105 - Current_String_2 (A),11073.3,172.5,100,0.9090909090909091,12180.63,0.8957816968220148,10.42183031779852
Recombiner 105 - Current_String_3 (A),10873.800000000001,172.5,100,0.9090909090909091,11961.180000000002,0.8796430165265302,12.03569834734698
Recombiner 105 - Current_String_4 (A),11199.000000000002,172.5,100,0.9090909090909091,12318.900000000003,0.9059502788427792,9.404972115722076
Recombiner 105 - Current_String_5 (A),10516.2,172.5,100,0.9090909090909091,11567.820000000002,0.8507147354555258,14.928526454447422
Recombiner 105 - Current_String_6 (A),10987.5,172.5,100,0.9090909090909091,12086.25,0.8888408508603477,11.11591491396523
Recombiner 105 - Current_String_7 (A),11106.999999999998,172.5,100,0.9090909090909091,12217.699999999999,0.8985078799095227,10.149212009047726
Recombiner 105 - Current_String_8 (A),11180.999999999998,172.5,100,0.9090909090909091,12299.099999999999,0.9044941573123592,9.550584268764084
Recombiner 105 - Current_String_9 (A),11173.3,172.5,100,0.9090909090909091,12290.63,0.9038712608799019,9.612873912009812
Recombiner 105 - Current_String_10 (A),8675.900000000001,138.0,80,0.7272727272727273,11929.362500000001,0.8773031101227863,9.815751190177098
Recombiner 105 - Current_String_11 (A),11154.900000000001,172.5,100,0.9090909090909091,12270.390000000001,0.9023827810932508,9.761721890674924
Recombiner 105 - Current_String_12 (A),11448.1,172.5,100,0.9090909090909091,12592.910000000002,0.9261013829109759,7.389861708902412
Recombiner 105 - Current_String_13 (A),11270.9,172.5,100,0.9090909090909091,12397.99,0.9117666754003998,8.823332459960021
Recombiner 105 - Current_String_14 (A),11588.2,189.75,110,1.0,11588.2,0.8522135110509779,16.256513784392435
Recombiner 105 - Current_String_15 (A),11202.399999999998,172.5,100,0.9090909090909091,12322.639999999998,0.906225324020747,9.377467597925303
Recombiner 105 - Current_String_16 (A),10785.9,172.5,100,0.9090909090909091,11864.49,0.8725322897196472,12.746771028035276
Recombiner 105 - Current_String_17 (A),8296.300000000001,138.0,80,0.7272727272727273,11407.4125,0.8389181286681118,12.886549706551058
Recombiner 105 - Current_String_18 (A),8599.6,138.0,80,0.7272727272727273,11824.45,0.8695876884025764,10.432984927793889
Recombiner 106 - Current_String_1 (A),10997.4,168.75,100,0.8893280632411067,12365.965333333334,0.9094115336510136,9.058846634898643
Recombiner 106 - Current_String_2 (A),10635.199999999999,168.75,100,0.8893280632411067,11958.691555555555,0.8794600126107316,12.053998738926841
Recombiner 106 - Current_String_3 (A),10669.0,168.75,100,0.8893280632411067,11996.697777777777,0.8822550468767767,11.77449531232233
Recombiner 106 - Current_String_4 (A),11111.599999999999,168.75,100,0.8893280632411067,12494.376888888888,0.9188551109641008,8.114488903589923
Recombiner 106 - Current_String_5 (A),11111.6,168.75,100,0.8893280632411067,12494.37688888889,0.9188551109641009,8.114488903589912
Recombiner 106 - Current_String_6 (A),11293.1,168.75,100,0.8893280632411067,12698.463555555556,0.9338639488128341,6.613605118716592
Recombiner 106 - Current_String_7 (A),10728.199999999999,168.75,100,0.8893280632411067,12063.264888888889,0.8871504915084296,11.284950849157038
Recombiner 106 - Current_String_8 (A),11293.500000000002,168.75,100,0.8893280632411067,12698.913333333336,0.9338970261414264,6.610297385857356
Recombiner 106 - Current_String_9 (A),10478.9,168.75,100,0.8893280632411067,11782.940888888888,0.86653504646331,13.346495353668997
Recombiner 106 - Current_String_10 (A),8654.700000000003,135.0,80,0.7114624505928854,12164.66166666667,0.8946073617729452,8.431411058164384
Recombiner 106 - Current_String_11 (A),10936.7,168.75,100,0.8893280632411067,12297.711555555557,0.9043920490371399,9.560795096286013
Recombiner 106 - Current_String_12 (A),11183.1,168.75,100,0.8893280632411067,12574.774666666668,0.9247676834499655,7.523231655003448
Recombiner 106 - Current_String_13 (A),10697.999999999998,168.75,100,0.8893280632411067,12029.306666666665,0.8846531531997147,11.534684680028528
Recombiner 106 - Current_String_14 (A),10888.300000000001,168.75,100,0.8893280632411067,12243.288444444446,0.9003896922774777,9.961030772252233
Recombiner 106 - Current_String_15 (A),10508.699999999999,168.75,100,0.8893280632411067,11816.449333333332,0.8689993074434326,13.100069255656743
Recombiner 106 - Current_String_16 (A),11060.2,168.75,100,0.8893280632411067,12436.580444444446,0.9146046742399968,8.539532576000319
Recombiner 106 - Current_String_17 (A),10593.1,168.75,100,0.8893280632411067,11911.352444444445,0.8759786237763973,12.402137622360264
Recombiner 106 - Current_String_18 (A),10877.5,168.75,100,0.8893280632411067,12231.144444444444,0.8994966044054867,10.050339559451327
Recombiner 107 - Current_String_1 (A),11326.4,168.75,100,0.8893280632411067,12735.907555555556,0.9366176364181389,6.338236358186111
Recombiner 107 - Current_String_2 (A),11266.5,168.75,100,0.8893280632411067,12668.553333333333,0.9316643064614495,6.833569353855051
Recombiner 107 - Current_String_3 (A),11026.099999999999,168.75,100,0.8893280632411067,12398.236888888887,0.9117848319775074,8.821516802249263
Recombiner 107 - Current_String_4 (A),10982.900000000001,168.75,100,0.8893280632411067,12349.660888888891,0.9082124804895447,9.178751951045527
Recombiner 107 - Current_String_5 (A),10684.9,168.75,100,0.8893280632411067,12014.576444444445,0.8835698706883186,11.64301293116814
Recombiner 107 - Current_String_6 (A),8894.5,135.0,80,0.7114624505928854,12501.71388888889,0.9193946848867619,6.448425209059048
Recombiner 107 - Current_String_7 (A),8998.8,135.0,80,0.7114624505928854,12648.313333333332,0.9301758266747981,5.585933866016148
Recombiner 107 - Current_String_8 (A),8427.5,135.0,80,0.7114624505928854,11845.319444444445,0.8711224584724477,10.310203322204181
Recombiner 107 - Current_String_9 (A),10740.600000000002,168.75,100,0.8893280632411067,12077.208000000002,0.8881758886947895,11.182411130521054
Recombiner 107 - Current_String_10 (A),10315.4,168.75,100,0.8893280632411067,11599.094222222222,0.8530146884012281,14.698531159877193
Recombiner 107 - Current_String_11 (A),10534.0,168.75,100,0.8893280632411067,11844.897777777778,0.8710914484768925,12.890855152310754
Recombiner 107 - Current_String_12 (A),10763.5,168.75,100,0.8893280632411067,12102.957777777778,0.8900695657566956,10.99304342433044
Recombiner 107 - Current_String_13 (A),10782.400000000001,168.75,100,0.8893280632411067,12124.20977777778,0.8916324695326796,10.836753046732039
Recombiner 107 - Current_String_14 (A),8397.8,135.0,80,0.7114624505928854,11803.574444444443,0.8680524689124793,10.555802487001653
Recombiner 107 - Current_String_15 (A),8967.599999999999,135.0,80,0.7114624505928854,12604.459999999997,0.9269507871370537,5.843937029035704
Recombiner 107 - Current_String_16 (A),8726.3,135.0,80,0.7114624505928854,12265.299444444443,0.9020084140454606,7.839326876363151
Recombiner 107 - Current_String_17 (A),11363.0,168.75,100,0.8893280632411067,12777.062222222223,0.9396442119843297,6.035578801567032
Recombiner 107 - Current_String_18 (A),11217.900000000001,168.75,100,0.8893280632411067,12613.905333333336,0.9276454110374913,7.235458896250869
Recombiner 107 - Current_String_19 (A),11242.9,168.75,100,0.8893280632411067,12642.016444444444,0.9297127440745067,7.028725592549334
Recombiner 201 - Current_String_1 (A),8868.8,135.0,80,0.7114624505928854,12465.59111111111,0.9167381619341969,6.660947045264249
Recombiner 201 - Current_String_2 (A),8945.099999999999,135.0,80,0.7114624505928854,12572.834999999997,0.9246250374704111,6.029997002367109
